order_id,order_date,category,subcategory,region,channel,order_amount,status,updated_at
76,2026-03-25 18:32:47.784989,食品,零食,西北,拼多多,56.82,paid,2026-06-22 11:54:47.801021
77,2026-03-25 10:26:47.784989,美妆,香水,东北,拼多多,586.13,paid,2026-06-22 11:54:47.801206
78,2026-03-25 18:45:47.784989,食品,生鲜,西南,京东,183.52,paid,2026-06-22 11:54:47.801385
79,2026-03-25 13:55:47.784989,食品,饮料,华中,线上官网,126.73,paid,2026-06-22 11:54:47.801568
80,2026-03-25 09:45:47.784989,美妆,香水,华南,拼多多,731.23,paid,2026-06-22 11:54:47.801744
81,2026-03-25 17:52:47.784989,美妆,护肤,华南,拼多多,337.23,paid,2026-06-22 11:54:47.801924
82,2026-03-25 19:33:47.784989,电子产品,电脑,西南,拼多多,1014.2,paid,2026-06-22 11:54:47.802102
83,2026-03-25 21:42:47.784989,食品,零食,华北,线上官网,49.79,cancelled,2026-06-22 11:54:47.802278
84,2026-03-25 15:00:47.784989,服装,女装,华中,京东,300.79,refunded,2026-06-22 11:54:47.802453
85,2026-03-25 11:17:47.784989,美妆,彩妆,东北,天猫,674.15,paid,2026-06-22 11:54:47.802625
86,2026-03-25 21:54:47.784989,电子产品,电脑,华北,天猫,2483.43,paid,2026-06-22 11:54:47.802803
87,2026-03-25 17:54:47.784989,食品,饮料,华南,抖音,171.16,paid,2026-06-22 11:54:47.802993
88,2026-03-25 11:31:47.784989,食品,生鲜,华北,京东,179.74,paid,2026-06-22 11:54:47.803204
89,2026-03-25 21:18:47.784989,食品,零食,西北,线上官网,35.39,paid,2026-06-22 11:54:47.803378
90,2026-03-25 12:04:47.784989,家居,家具,西南,拼多多,1152.87,cancelled,2026-06-22 11:54:47.803562
91,2026-03-25 19:45:47.784989,美妆,彩妆,西北,天猫,465.65,cancelled,2026-06-22 11:54:47.803741
92,2026-03-25 18:57:47.784989,电子产品,电脑,华北,京东,3644.81,paid,2026-06-22 11:54:47.803914
93,2026-03-25 17:37:47.784989,美妆,护肤,华南,天猫,456.72,paid,2026-06-22 11:54:47.804093
94,2026-03-25 15:09:47.784989,服装,童装,华中,线上官网,443.25,paid,2026-06-22 11:54:47.804269
95,2026-03-25 11:25:47.784989,美妆,护肤,华南,天猫,99.56,paid,2026-06-22 11:54:47.804452
96,2026-03-25 14:21:47.784989,美妆,护肤,华北,天猫,541.03,paid,2026-06-22 11:54:47.804642
97,2026-03-25 18:01:47.784989,美妆,护肤,华南,线上官网,287.37,paid,2026-06-22 11:54:47.804822
98,2026-03-25 20:43:47.784989,美妆,护肤,华东,天猫,89.88,paid,2026-06-22 11:54:47.804996
99,2026-03-25 20:15:47.784989,食品,饮料,西北,京东,44.63,paid,2026-06-22 11:54:47.805170
100,2026-03-25 17:44:47.784989,食品,生鲜,华中,拼多多,182.61,paid,2026-06-22 11:54:47.805354
101,2026-03-25 11:47:47.784989,服装,童装,华南,京东,262.94,refunded,2026-06-22 11:54:47.805560
102,2026-03-25 16:34:47.784989,服装,童装,东北,拼多多,254.81,paid,2026-06-22 11:54:47.805751
103,2026-03-25 14:24:47.784989,家居,家具,华南,抖音,2431.53,paid,2026-06-22 11:54:47.805935
104,2026-03-25 21:17:47.784989,美妆,彩妆,华东,抖音,703.52,paid,2026-06-22 11:54:47.806112
105,2026-03-25 17:09:47.784989,食品,生鲜,东北,线上官网,106.36,paid,2026-06-22 11:54:47.806275
106,2026-03-25 13:24:47.784989,电子产品,配件,东北,京东,515.06,paid,2026-06-22 11:54:47.806444
107,2026-03-25 20:05:47.784989,电子产品,手机,西北,线上官网,2262.34,paid,2026-06-22 11:54:47.806613
108,2026-03-25 22:09:47.784989,食品,饮料,华中,线下门店,170.81,paid,2026-06-22 11:54:47.806795
109,2026-03-25 11:19:47.784989,食品,饮料,华东,线上官网,30.41,paid,2026-06-22 11:54:47.806986
110,2026-03-25 21:46:47.784989,服装,男装,华中,天猫,498.35,paid,2026-06-22 11:54:47.807172
111,2026-03-25 20:41:47.784989,电子产品,手机,西南,京东,4448.57,paid,2026-06-22 11:54:47.807347
112,2026-03-26 20:47:47.784989,电子产品,手机,华北,线上官网,2177.1,paid,2026-06-22 11:54:47.807549
113,2026-03-26 19:12:47.784989,美妆,护肤,华中,抖音,552.07,paid,2026-06-22 11:54:47.807800
114,2026-03-26 13:41:47.784989,美妆,护肤,西北,京东,213.79,cancelled,2026-06-22 11:54:47.807989
115,2026-03-26 19:52:47.784989,家居,床品,华北,拼多多,2494.87,paid,2026-06-22 11:54:47.808167
116,2026-03-26 10:59:47.784989,服装,女装,西北,拼多多,87.84,paid,2026-06-22 11:54:47.808343
117,2026-03-26 14:03:47.784989,美妆,香水,西北,天猫,610.35,paid,2026-06-22 11:54:47.808527
118,2026-03-26 10:13:47.784989,家居,厨具,西南,天猫,1900.66,paid,2026-06-22 11:54:47.808711
119,2026-03-26 15:25:47.784989,美妆,香水,华北,京东,224.43,paid,2026-06-22 11:54:47.808893
120,2026-03-26 10:46:47.784989,服装,女装,华南,线下门店,123.63,paid,2026-06-22 11:54:47.809068
121,2026-03-26 14:18:47.784989,家居,厨具,华北,天猫,1317.21,refunded,2026-06-22 11:54:47.809272
122,2026-03-26 10:14:47.784989,电子产品,手机,华北,天猫,3759.9,paid,2026-06-22 11:54:47.809442
123,2026-03-26 20:52:47.784989,家居,床品,西南,线上官网,2306.97,cancelled,2026-06-22 11:54:47.809598
124,2026-03-26 17:59:47.784989,家居,厨具,华北,线上官网,817.87,paid,2026-06-22 11:54:47.809791
125,2026-03-26 14:31:47.784989,美妆,护肤,华南,拼多多,399.55,paid,2026-06-22 11:54:47.809970
126,2026-03-26 14:21:47.784989,食品,零食,华东,抖音,38.89,paid,2026-06-22 11:54:47.810142
127,2026-03-26 18:21:47.784989,家居,家具,华南,拼多多,339.27,cancelled,2026-06-22 11:54:47.810302
128,2026-03-26 19:05:47.784989,服装,女装,东北,线上官网,68.53,paid,2026-06-22 11:54:47.810456
129,2026-03-26 19:06:47.784989,电子产品,电脑,华东,线上官网,3690.77,paid,2026-06-22 11:54:47.810611
130,2026-03-26 20:12:47.784989,食品,饮料,华南,拼多多,98.95,paid,2026-06-22 11:54:47.810790
131,2026-03-26 10:05:47.784989,电子产品,手机,华北,线上官网,2016.03,refunded,2026-06-22 11:54:47.810962
132,2026-03-26 09:06:47.784989,服装,童装,西北,天猫,86.69,paid,2026-06-22 11:54:47.811116
133,2026-03-26 10:48:47.784989,家居,家具,西北,线下门店,2326.4,paid,2026-06-22 11:54:47.811269
134,2026-03-26 18:53:47.784989,食品,零食,西南,线上官网,162.73,paid,2026-06-22 11:54:47.811422
135,2026-03-26 22:13:47.784989,美妆,香水,华中,天猫,517.06,paid,2026-06-22 11:54:47.811576
136,2026-03-26 10:38:47.784989,服装,童装,华中,抖音,441.84,paid,2026-06-22 11:54:47.811751
137,2026-03-26 19:09:47.784989,电子产品,配件,华东,线下门店,3455.31,paid,2026-06-22 11:54:47.811918
138,2026-03-26 17:53:47.784989,食品,饮料,西北,天猫,100.9,paid,2026-06-22 11:54:47.812103
139,2026-03-26 20:58:47.784989,家居,家具,华北,拼多多,1797.53,paid,2026-06-22 11:54:47.812281
140,2026-03-26 13:32:47.784989,美妆,彩妆,西北,线上官网,749.08,paid,2026-06-22 11:54:47.812449
141,2026-03-26 15:30:47.784989,电子产品,配件,西北,京东,2659.54,paid,2026-06-22 11:54:47.812642
142,2026-03-26 10:20:47.784989,食品,饮料,东北,京东,146.84,paid,2026-06-22 11:54:47.812821
143,2026-03-26 10:17:47.784989,电子产品,配件,华中,天猫,1297.17,cancelled,2026-06-22 11:54:47.812988
144,2026-03-26 13:47:47.784989,电子产品,电脑,东北,京东,4689.27,paid,2026-06-22 11:54:47.813141
145,2026-03-26 13:12:47.784989,美妆,护肤,华南,天猫,609.37,paid,2026-06-22 11:54:47.813301
146,2026-03-26 21:10:47.784989,电子产品,配件,西南,京东,4665.54,paid,2026-06-22 11:54:47.813455
147,2026-03-26 09:48:47.784989,电子产品,电脑,西北,京东,3335.94,paid,2026-06-22 11:54:47.813609
148,2026-03-26 16:47:47.784989,电子产品,配件,西南,线上官网,1258.0,paid,2026-06-22 11:54:47.813806
149,2026-03-26 15:05:47.784989,服装,女装,西南,线上官网,229.47,paid,2026-06-22 11:54:47.813994
150,2026-03-26 12:20:47.784989,服装,童装,华北,线上官网,341.36,paid,2026-06-22 11:54:47.814150
151,2026-03-26 18:35:47.784989,美妆,彩妆,华北,线上官网,445.15,paid,2026-06-22 11:54:47.814303
152,2026-03-26 16:48:47.784989,服装,女装,华东,线下门店,105.45,paid,2026-06-22 11:54:47.814457
153,2026-03-26 21:54:47.784989,服装,男装,华南,抖音,417.09,paid,2026-06-22 11:54:47.814611
154,2026-03-26 18:26:47.784989,美妆,彩妆,西南,线上官网,302.13,paid,2026-06-22 11:54:47.814789
155,2026-03-26 09:34:47.784989,美妆,彩妆,华北,抖音,147.8,paid,2026-06-22 11:54:47.814960
156,2026-03-26 22:12:47.784989,家居,厨具,华东,线上官网,1685.42,paid,2026-06-22 11:54:47.815113
157,2026-03-26 19:38:47.784989,美妆,护肤,西北,线上官网,587.88,paid,2026-06-22 11:54:47.815305
158,2026-03-26 17:07:47.784989,家居,厨具,华北,京东,1971.34,paid,2026-06-22 11:54:47.815485
159,2026-03-26 14:07:47.784989,电子产品,配件,西北,天猫,2835.77,paid,2026-06-22 11:54:47.815669
160,2026-03-26 15:29:47.784989,服装,童装,西北,线上官网,73.55,paid,2026-06-22 11:54:47.815822
161,2026-03-26 15:15:47.784989,家居,厨具,西南,线上官网,1287.49,refunded,2026-06-22 11:54:47.815976
162,2026-03-26 16:43:47.784989,家居,家具,西南,线下门店,158.08,paid,2026-06-22 11:54:47.816140
163,2026-03-26 10:13:47.784989,电子产品,手机,西北,京东,901.06,paid,2026-06-22 11:54:47.816339
164,2026-03-26 15:25:47.784989,家居,家具,东北,天猫,986.02,paid,2026-06-22 11:54:47.816511
165,2026-03-26 14:17:47.784989,家居,厨具,东北,线上官网,1553.34,paid,2026-06-22 11:54:47.816693
166,2026-03-26 10:26:47.784989,美妆,香水,西北,抖音,340.29,cancelled,2026-06-22 11:54:47.816874
167,2026-03-26 09:45:47.784989,服装,童装,华南,线下门店,308.82,paid,2026-06-22 11:54:47.817047
168,2026-03-26 20:11:47.784989,美妆,香水,华北,天猫,771.6,paid,2026-06-22 11:54:47.817232
169,2026-03-26 11:30:47.784989,家居,家具,东北,京东,1896.81,paid,2026-06-22 11:54:47.817415
170,2026-03-27 11:20:47.784989,美妆,香水,华南,天猫,214.17,paid,2026-06-22 11:54:47.817612
171,2026-03-27 12:28:47.784989,电子产品,电脑,西北,线上官网,780.31,paid,2026-06-22 11:54:47.817785
172,2026-03-27 15:36:47.784989,家居,厨具,东北,拼多多,1623.96,paid,2026-06-22 11:54:47.817959
173,2026-03-27 15:04:47.784989,美妆,彩妆,华中,线上官网,135.57,paid,2026-06-22 11:54:47.818135
174,2026-03-27 19:20:47.784989,电子产品,手机,华中,拼多多,1394.85,paid,2026-06-22 11:54:47.818311
175,2026-03-27 14:41:47.784989,家居,床品,华中,天猫,1190.08,paid,2026-06-22 11:54:47.818485
176,2026-03-27 10:57:47.784989,美妆,彩妆,华中,线上官网,245.11,paid,2026-06-22 11:54:47.818663
177,2026-03-27 11:04:47.784989,家居,家具,西南,京东,293.29,paid,2026-06-22 11:54:47.818838
178,2026-03-27 13:19:47.784989,家居,家具,东北,京东,306.64,paid,2026-06-22 11:54:47.819023
179,2026-03-27 22:53:47.784989,美妆,彩妆,东北,天猫,105.76,paid,2026-06-22 11:54:47.819197
180,2026-03-27 09:35:47.784989,服装,女装,东北,线上官网,396.15,refunded,2026-06-22 11:54:47.819371
181,2026-03-27 14:12:47.784989,家居,厨具,华东,京东,949.18,paid,2026-06-22 11:54:47.819545
182,2026-03-27 18:24:47.784989,美妆,香水,西南,线上官网,453.57,paid,2026-06-22 11:54:47.819717
183,2026-03-27 15:38:47.784989,服装,女装,西南,线上官网,449.12,paid,2026-06-22 11:54:47.819890
184,2026-03-27 19:21:47.784989,电子产品,手机,东北,天猫,2572.43,paid,2026-06-22 11:54:47.820073
185,2026-03-27 15:23:47.784989,食品,零食,西北,京东,36.54,paid,2026-06-22 11:54:47.820248
186,2026-03-27 17:36:47.784989,家居,家具,西北,京东,2097.77,paid,2026-06-22 11:54:47.820420
187,2026-03-27 13:45:47.784989,服装,女装,华东,拼多多,137.28,cancelled,2026-06-22 11:54:47.820593
188,2026-03-27 22:56:47.784989,食品,生鲜,华南,天猫,156.98,paid,2026-06-22 11:54:47.820770
189,2026-03-27 12:19:47.784989,服装,男装,华东,京东,261.64,paid,2026-06-22 11:54:47.820950
190,2026-03-27 21:19:47.784989,服装,女装,华北,线上官网,130.27,paid,2026-06-22 11:54:47.821137
191,2026-03-27 10:29:47.784989,电子产品,配件,东北,天猫,791.84,paid,2026-06-22 11:54:47.821313
192,2026-03-27 13:30:47.784989,服装,童装,东北,线上官网,117.05,paid,2026-06-22 11:54:47.821484
193,2026-03-27 19:56:47.784989,家居,床品,华中,线上官网,1834.85,paid,2026-06-22 11:54:47.821657
194,2026-03-27 15:08:47.784989,家居,厨具,华中,线上官网,2974.27,paid,2026-06-22 11:54:47.821834
195,2026-03-27 19:44:47.784989,服装,男装,华东,京东,365.11,refunded,2026-06-22 11:54:47.822013
196,2026-03-27 13:35:47.784989,食品,零食,华北,天猫,53.5,paid,2026-06-22 11:54:47.822190
197,2026-03-27 17:30:47.784989,服装,女装,东北,抖音,53.16,cancelled,2026-06-22 11:54:47.822384
198,2026-03-27 18:15:47.784989,家居,家具,西南,线上官网,899.28,paid,2026-06-22 11:54:47.822557
199,2026-03-27 10:32:47.784989,服装,男装,华中,天猫,70.93,paid,2026-06-22 11:54:47.822746
200,2026-03-27 20:55:47.784989,食品,生鲜,西北,抖音,120.83,paid,2026-06-22 11:54:47.822928
201,2026-03-27 20:56:47.784989,电子产品,手机,华南,线下门店,3763.2,paid,2026-06-22 11:54:47.823305
202,2026-03-27 10:27:47.784989,美妆,护肤,华东,线上官网,118.37,paid,2026-06-22 11:54:47.823831
203,2026-03-27 14:47:47.784989,服装,童装,华东,拼多多,151.77,paid,2026-06-22 11:54:47.824227
204,2026-03-27 18:34:47.784989,电子产品,电脑,华南,天猫,3429.38,paid,2026-06-22 11:54:47.824620
205,2026-03-27 13:14:47.784989,食品,生鲜,华东,线上官网,156.22,paid,2026-06-22 11:54:47.824997
206,2026-03-27 20:32:47.784989,家居,厨具,华北,抖音,373.04,paid,2026-06-22 11:54:47.825377
207,2026-03-27 16:23:47.784989,服装,童装,西北,天猫,92.03,paid,2026-06-22 11:54:47.825747
208,2026-03-27 14:11:47.784989,家居,家具,西南,天猫,1608.55,paid,2026-06-22 11:54:47.826107
209,2026-03-27 20:47:47.784989,服装,童装,华北,天猫,278.17,cancelled,2026-06-22 11:54:47.826492
210,2026-03-27 21:54:47.784989,食品,零食,西南,拼多多,153.15,refunded,2026-06-22 11:54:47.826866
211,2026-03-27 09:03:47.784989,美妆,护肤,西北,京东,461.01,paid,2026-06-22 11:54:47.827237
212,2026-03-27 20:56:47.784989,电子产品,电脑,华南,线上官网,1343.35,paid,2026-06-22 11:54:47.827596
213,2026-03-27 20:55:47.784989,食品,饮料,东北,京东,178.37,paid,2026-06-22 11:54:47.827961
214,2026-03-27 14:16:47.784989,服装,女装,华东,线上官网,252.66,paid,2026-06-22 11:54:47.828332
215,2026-03-27 15:05:47.784989,美妆,香水,西北,线下门店,83.62,paid,2026-06-22 11:54:47.828701
216,2026-03-27 13:52:47.784989,电子产品,手机,东北,天猫,3623.68,paid,2026-06-22 11:54:47.829066
217,2026-03-27 15:58:47.784989,家居,厨具,西南,抖音,2730.87,paid,2026-06-22 11:54:47.829425
218,2026-03-27 17:39:47.784989,食品,饮料,西北,天猫,195.82,cancelled,2026-06-22 11:54:47.829789
219,2026-03-27 22:08:47.784989,服装,女装,东北,线上官网,421.72,paid,2026-06-22 11:54:47.830163
220,2026-03-27 09:55:47.784989,食品,生鲜,华东,天猫,117.33,cancelled,2026-06-22 11:54:47.830521
221,2026-03-27 17:45:47.784989,家居,家具,西北,京东,2718.4,paid,2026-06-22 11:54:47.830888
222,2026-03-27 13:04:47.784989,电子产品,配件,东北,线上官网,4075.6,paid,2026-06-22 11:54:47.831333
223,2026-03-27 16:44:47.784989,家居,家具,华北,天猫,287.59,paid,2026-06-22 11:54:47.831713
224,2026-03-27 17:28:47.784989,家居,厨具,西南,天猫,2849.51,paid,2026-06-22 11:54:47.832081
225,2026-03-27 17:00:47.784989,食品,生鲜,东北,线上官网,67.28,paid,2026-06-22 11:54:47.832440
226,2026-03-27 11:39:47.784989,电子产品,电脑,华东,线上官网,4583.21,paid,2026-06-22 11:54:47.832815
227,2026-03-27 18:38:47.784989,食品,零食,西南,线上官网,59.43,paid,2026-06-22 11:54:47.833188
228,2026-03-27 13:50:47.784989,美妆,护肤,华东,线上官网,660.02,paid,2026-06-22 11:54:47.833544
229,2026-03-27 20:18:47.784989,食品,生鲜,东北,抖音,43.67,paid,2026-06-22 11:54:47.833937
230,2026-03-27 22:22:47.784989,家居,家具,华中,天猫,2192.04,paid,2026-06-22 11:54:47.834298
231,2026-03-27 20:39:47.784989,美妆,香水,东北,线上官网,101.06,cancelled,2026-06-22 11:54:47.834658
232,2026-03-27 21:09:47.784989,家居,家具,华东,天猫,1974.71,paid,2026-06-22 11:54:47.835014
233,2026-03-27 22:39:47.784989,服装,童装,西北,线上官网,337.04,paid,2026-06-22 11:54:47.835430
234,2026-03-27 17:22:47.784989,服装,男装,华东,天猫,309.74,paid,2026-06-22 11:54:47.835835
235,2026-03-27 20:33:47.784989,电子产品,电脑,西南,天猫,2317.54,cancelled,2026-06-22 11:54:47.836208
236,2026-03-27 20:32:47.784989,食品,生鲜,西南,京东,22.22,paid,2026-06-22 11:54:47.836578
237,2026-03-27 19:46:47.784989,服装,男装,东北,线上官网,119.51,cancelled,2026-06-22 11:54:47.836938
238,2026-03-28 12:48:47.784989,食品,饮料,华北,天猫,59.22,paid,2026-06-22 11:54:47.837358
239,2026-03-28 19:41:47.784989,美妆,彩妆,华中,线上官网,742.74,refunded,2026-06-22 11:54:47.837725
240,2026-03-28 15:05:47.784989,食品,饮料,西北,拼多多,40.91,paid,2026-06-22 11:54:47.838101
241,2026-03-28 13:36:47.784989,家居,厨具,西南,京东,2915.15,paid,2026-06-22 11:54:47.838469
242,2026-03-28 09:20:47.784989,电子产品,手机,华中,京东,4251.42,paid,2026-06-22 11:54:47.838965
243,2026-03-28 12:50:47.784989,家居,家具,西南,拼多多,536.51,paid,2026-06-22 11:54:47.839364
244,2026-03-28 09:36:47.784989,美妆,护肤,华北,抖音,60.38,paid,2026-06-22 11:54:47.839729
245,2026-03-28 15:27:47.784989,家居,厨具,华北,线上官网,210.15,paid,2026-06-22 11:54:47.840091
246,2026-03-28 14:54:47.784989,美妆,护肤,西南,天猫,611.06,paid,2026-06-22 11:54:47.840457
247,2026-03-28 22:26:47.784989,服装,女装,华北,线上官网,280.07,paid,2026-06-22 11:54:47.840821
248,2026-03-28 09:32:47.784989,服装,童装,东北,拼多多,140.21,paid,2026-06-22 11:54:47.841188
